Date,Sport,Event,Time,Additional details,Location,Closest Metro,LEFT,Start time,RIGHT,End time
August 7,Athletics,1500m repechage - women's,1235,,Stade de France,Stade de France - Saint-Denis (RER D),1235,12:35,1235,12:35
August 7,Athletics,Pole vault final - women's,1900,,Stade de France,Stade de France - Saint-Denis (RER D),1900,19:00,1900,19:00
August 7,Athletics,110m hurdles semifinals - men's,1905,,Stade de France,Stade de France - Saint-Denis (RER D),1905,19:05,1905,19:05
August 7,Athletics,Triple jump qualification - men's,1915,,Stade de France,Stade de France - Saint-Denis (RER D),1915,19:15,1915,19:15
August 7,Athletics,400m hurdles semifinals - men's,1935,,Stade de France,Stade de France - Saint-Denis (RER D),1935,19:35,1935,19:35
August 7,Athletics,200m semifinals - men's,2002,,Stade de France,Stade de France - Saint-Denis (RER D),2002,20:02,2002,20:02
August 7,Athletics,Discus throw final - men's,2025,,Stade de France,Stade de France - Saint-Denis (RER D),2025,20:25,2025,20:25
August 7,Athletics,400m semifinals - women's,2045,,Stade de France,Stade de France - Saint-Denis (RER D),2045,20:45,2045,20:45
August 7,Athletics,400m final - men's,2120,,Stade de France,Stade de France - Saint-Denis (RER D),2120,21:20,2120,21:20
August 7,Athletics,3000m steeplechase final - men's,2140,,Stade de France,Stade de France - Saint-Denis (RER D),2140,21:40,2140,21:40
August 7,Diving,3m springboard semifinals - men's,1000-1200,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1000,10:00,1200,12:00
August 7,Diving,3m springboard preliminary - women's,1500-1700,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1500,15:00,1700,17:00
August 7,Water polo,M quarters (2 matches),1400-1700,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1400,14:00,1700,17:00
August 7,Water polo,M quarters (2 matches),1900-2200,,Stade Aquatique,Stade de France - Saint-Denis (RER D),1900,19:00,2200,22:00
August 7,Boxing,"W 57kg, M +92kg semis, M 63.5kg, M 80kg final",2130-2330,,Roland-Garros Stadium,Porte d'Auteuil (Metro 10),2130,21:30,2330,23:30
August 7,Track cycling,"M sprint qualifying, early rounds, repechage rounds, W keirin first round, repechage, W team pursuit first round",1245-1545,,Roland-Garros Stadium,Porte d'Auteuil (Metro 10),1245,12:45,1545,15:45
August 7,Track cycling,"M sprint early rounds, repechage rounds, M team pursuit medal finals, W team pursuit medal finals",1730-2025,,Roland-Garros Stadium,Porte d'Auteuil (Metro 10),1730,17:30,2025,20:25
August 7,Table tennis,M/W team quarters,1000-1300,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),1000,10:00,1300,13:00
August 7,Table tennis,M/W team quarters,1500-1800,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),1500,15:00,1800,18:00
August 7,Table tennis,Team semifinals - men's,2000-2300,,Porte de Versailles Exhibition Centre,Porte de Versailles (Metro 12),2000,20:00,2300,23:00
August 7,Sport climbing,"M boulder/lead semis (lead), W speed medal finals",1000-1315,,Place de la Concorde,Palais Royal-Musée du Louvre (Metro 1/7) closed 3-4 August. Second best: Auber (RER),1000,10:00,1315,13:15
August 7,Sailing,"Mixed dinghy, Mixed multihull medal races, M/W Kite",1200-1900,,Marseille Marina,Vieux-Port - Hôtel de Ville (Metro 1),1200,12:00,1900,19:00
August 7,Weightlifting,Men's 61kg final,1500-1730,,Le Bourget Exhibition Centre,Le Bourget (RER B),1500,15:00,1730,17:30
August 7,Weightlifting,49kg final - women's,1930-2200,,Le Bourget Exhibition Centre,Le Bourget (RER B),1930,19:30,2200,22:00
August 7,Skateboard,Park preliminaries - men's,1230-1600,,La Courneuve Shooting Range,La Courneuve (Metro 13),1230,12:30,1600,16:00
August 7,Skateboard,Park medal final - men's,1730-1900,,La Courneuve Shooting Range,La Courneuve (Metro 13),1730,17:30,1900,19:00
August 7,Volleyball,Semifinals - men's,1600-1830,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),1600,16:00,1830,18:30
August 7,Volleyball,Semifinals - men's,2000-2230,,Hall 6 Exhibition Centre Paris-Le Bourget,Le Bourget (RER B),2000,20:00,2230,22:30
August 7,Golf,Golf round 1 - women's,0900-1800,,Golf National,Guyancourt (RER C),0900,09:00,1800,18:00
August 7,Beach volleyball,M/W quarters (2 matches),1700-1900,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),1700,17:00,1900,19:00
August 7,Beach volleyball,M/W quarters (2 matches),2100-2300,,Eiffel Tower Beach Volleyball Stadium,Bir-Hakeim (Metro 6),2100,21:00,2300,23:00
August 7,Taekwondo,"M 58kg, W 49kg qualification rounds",0900-1230,,Champ de Mars Arena,Ecole Militaire (Metro 8),0900,09:00,1230,12:30
August 7,Taekwondo,"M 58kg, W 49kg quarters, semis",1430-1730,,Champ de Mars Arena,Ecole Militaire (Metro 8),1430,14:30,1730,17:30
August 7,Taekwondo,"M 58kg, W 49kg repechage rounds and medal finals",1930-2300,,Champ de Mars Arena,Ecole Militaire (Metro 8),1930,19:30,2300,23:00
